"candidat","scenario","verdict","nature_preuve","mode","couche_decision","identite_amont","identite_agent","perimetre","gestes_O","authentifications_U","consentements_U","configurations_manuelles_U","temps_actif_scenario_s","attente_externe_s","appels_cette_campagne","donnees_recues_cette_campagne","resultat","blocage","preuve","limite"
"Workato","S3","bloqué par prérequis","aucune observation produit","configuration standard visée, non appliquée","non observée","non configurée","non configurée","Contextes vides A/B","0","0","0","0","0",,"0","aucune","non essayé","S1/S2 non exécutés","workato-prerequisites.md; collection/transcripts.redacted.json","Absence de prérequis; aucune faiblesse produit démontrée"
"Workato","S4","bloqué par prérequis","aucune observation produit","configuration standard visée, non appliquée","non observée","non configurée","non configurée","B demande D2 sans décision","0","0","0","0","0",,"0","aucune","non essayé","Connexion et mécanisme natif non qualifiés","workato-prerequisites.md; collection/transcripts.redacted.json","Absence de prérequis; aucune faiblesse produit démontrée"
"Workato","S5","bloqué par prérequis","aucune observation produit","configuration standard visée, non appliquée","non observée","non configurée","non configurée","Retrait A préservant U/B","0","0","0","0","0",,"0","aucune","non essayé","Délégations et objet révocable non qualifiés","workato-prerequisites.md; collection/transcripts.redacted.json","Absence de prérequis; aucune faiblesse produit démontrée"
"Workato","S6","bloqué par prérequis","aucune observation produit","configuration standard visée, non appliquée","non observée","non configurée","non configurée","Traces et nettoyage","0","0","0","0","0",,"0","aucune","non essayé","Aucune trace produit; aucune ressource externe créée","workato-prerequisites.md; collection/transcripts.redacted.json","Absence de prérequis; aucune faiblesse produit démontrée"
"Moraine (référence limitée)","S0","non établi","preuve historique du 21 septembre 2026","pilote local simulé","broker OPA/SQLite dans la preuve","compte fictif configuré","agent:pilot unique","D1-D4 source",,,,,"0",,"0","aucune","Fournisseur HTTP JSON fictif; aucun contrôle Confluence D1-D4","Comparabilité limitée par conception","../../codex-email/20260921-agent-access/REPORT.md; ../../codex-email/20260921-agent-access/native-checks.json; ../../codex-email/20260921-agent-access/revocation-checks.json","Pas de Confluence ni de compte U ordinaire"
"Moraine (référence limitée)","S1","documenté seulement","preuve historique du 21 septembre 2026","pilote local simulé","broker OPA/SQLite dans la preuve","compte fictif configuré","agent:pilot unique","U avec deux délégations A/B",,,,,"0",,"0","aucune","Broker configuré avec une identité agent unique et canal humain simulé","Comparabilité limitée par conception","../../codex-email/20260921-agent-access/REPORT.md; ../../codex-email/20260921-agent-access/native-checks.json; ../../codex-email/20260921-agent-access/revocation-checks.json","Ne qualifie pas un déploiement administré multi-agent"
"Moraine (référence limitée)","S2","non établi","preuve historique du 21 septembre 2026","pilote local simulé","broker OPA/SQLite dans la preuve","compte fictif configuré","agent:pilot unique","Matrice D1-D4 et B vers A",,,,,"0",,"0","aucune","Sélection fixe et témoin exclu dans les preuves conservées","Comparabilité limitée par conception","../../codex-email/20260921-agent-access/REPORT.md; ../../codex-email/20260921-agent-access/native-checks.json; ../../codex-email/20260921-agent-access/revocation-checks.json","Aucune séparation de deux délégations A/B"
"Moraine (référence limitée)","S3","documenté seulement","preuve historique du 21 septembre 2026","pilote local simulé","broker OPA/SQLite dans la preuve","compte fictif configuré","agent:pilot unique","Contextes vides A/B",,,,,"0",,"0","aucune","Deux conversations natives ont retrouvé le même grant; une récupération fournisseur","Comparabilité limitée par conception","../../codex-email/20260921-agent-access/REPORT.md; ../../codex-email/20260921-agent-access/native-checks.json; ../../codex-email/20260921-agent-access/revocation-checks.json","Même identité, captures fixes, TTL 30 min; S3 A/B non qualifié"
"Moraine (référence limitée)","S4","documenté seulement","preuve historique du 21 septembre 2026","pilote local simulé","broker OPA/SQLite dans la preuve","compte fictif configuré","agent:pilot unique","B demande D2 sans décision",,,,,"0",,"0","aucune","Demande persistée pending avant accord simulé, puis captures publiées","Comparabilité limitée par conception","../../codex-email/20260921-agent-access/REPORT.md; ../../codex-email/20260921-agent-access/native-checks.json; ../../codex-email/20260921-agent-access/revocation-checks.json","Ce parcours ne prouve pas une extension demandée par B"
"Moraine (référence limitée)","S5","non établi","preuve historique du 21 septembre 2026","pilote local simulé","broker OPA/SQLite dans la preuve","compte fictif configuré","agent:pilot unique","Retrait A préservant U/B",,,,,"0",,"0","aucune","Après retrait du grant, list_context et read_context refusés dans la preuve historique","Comparabilité limitée par conception","../../codex-email/20260921-agent-access/REPORT.md; ../../codex-email/20260921-agent-access/native-checks.json; ../../codex-email/20260921-agent-access/revocation-checks.json","Aucun B à préserver ni mesure aux cinq échéances du protocole"
"Moraine (référence limitée)","S6","documenté seulement","preuve historique du 21 septembre 2026","pilote local simulé","broker OPA/SQLite dans la preuve","compte fictif configuré","agent:pilot unique","Traces et nettoyage",,,,,"0",,"0","aucune","Transcriptions et digests conservés; runtime historique déclaré arrêté","Comparabilité limitée par conception","../../codex-email/20260921-agent-access/REPORT.md; ../../codex-email/20260921-agent-access/native-checks.json; ../../codex-email/20260921-agent-access/revocation-checks.json","Preuve historique consultée, aucune nouvelle campagne pilote"
